Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
144,NBA,2,54,LAC,Willie Warren\warrewi01,20.25,G,us,Oklahoma,2011,2011,2010,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065
145,NBA,2,55,UTA,Jeremy Evans\evansje01,22.249,F,us,Western Kentucky,2011,2018,2010,250,10.5,3.5,2.6,0.4,0.4,0.5,0.569,0.583,0.231,0.687,8.2,0.15
146,NBA,2,56,MIN,Hamady N'Diaye\ndiayha01,23.169,C,sn,Rutgers University,2011,2014,2010,33,4.8,0.6,0.8,0.1,0.1,0.3,0.467,0.467,,0.462,0,0.013
147,NBA,2,57,IND,Ryan Reid\reidry01,23.243,F,us,Florida State,2012,2012,2010,5,3.4,1.6,0.4,0,0,0,0.8,0.8,,,0.1,0.142
148,NBA,2,58,LAL,Derrick Caracter\caracde01,22.056,F,us,Texas-El Paso,2011,2011,2010,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
149,NBA,2,59,ORL,Stanley Robinson,,,,UConn,,,2010,,,,,,,,,,,,,
150,NBA,2,60,PHO,Dwayne Collins\collidw01,22.077,F,us,Miami (FL),,,2010,,,,,,,,,,,,,
151,NBA,2,31,MIA,Bojan Bogdanović\bogdabo02,22.071,G-F,ba,,2015,2021,2011,503,28.7,14.3,3.5,1.5,0.6,0.1,0.456,0.509,0.393,0.859,25.1,0.083
152,NBA,2,32,CLE,Justin Harper\harpeju01,21.302,F,us,Richmond,2012,2017,2011,22,6.8,2,0.8,0.2,0.1,0.1,0.34,0.417,0.276,0.333,-0.3,-0.093
153,NBA,2,33,DET,Kyle Singler\singlky01,23.055,F,us,Duke,2013,2018,2011,356,21.9,6.5,2.9,0.8,0.6,0.3,0.418,0.458,0.362,0.786,10,0.062
154,NBA,2,34,WAS,Shelvin Mack\macksh01,21.067,G,us,Butler,2012,2019,2011,456,18.4,6.6,2,3.1,0.7,0.1,0.423,0.47,0.33,0.731,10.3,0.059
155,NBA,2,35,SAC,Tyler Honeycutt\honeyty01,20.348,F,us,UCLA,2012,2013,2011,24,5,1.2,1,0.4,0.2,0.2,0.314,0.333,0.2,0.714,-0.1,-0.049
156,NBA,2,36,NJN,Jordan Williams\willijo03,20.26,F,us,Maryland,2012,2012,2011,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
157,NBA,2,37,LAC,Trey Thompkins\thomptr02,21.039,F,us,Georgia,2012,2012,2011,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004
158,NBA,2,38,HOU,Chandler Parsons\parsoch01,22.246,F,us,Florida,2012,2020,2011,440,30.1,12.7,4.5,2.7,0.9,0.3,0.462,0.521,0.373,0.713,28.9,0.105
159,NBA,2,39,CHA,Jeremy Tyler\tylerje01,20.007,C,us,,2012,2014,2011,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014
160,NBA,2,40,MIL,Jon Leuer\leuerjo01,22.045,F,us,Wisconsin,2012,2019,2011,377,15.8,6.4,3.8,0.8,0.4,0.3,0.484,0.52,0.328,0.767,13.2,0.107
